Distance,EventDestination_x,EventDestination_y,EventOrigin_x,EventOrigin_y,EventSubType,EventTime,MatchPeriod,Source,Target
14.76,63.0,57.0,50.0,50.0,Simple pass,4.53,1,Opponent6_F2,Opponent6_M3
45.71,71.0,12.0,63.0,57.0,Simple pass,6.06,1,Opponent6_M3,Opponent6_D3
9.22,80.0,10.0,71.0,12.0,Simple pass,7.45,1,Opponent6_D3,Opponent6_D5
16.16,49.0,20.0,43.0,5.0,Head pass,11.27,1,Huskies_D5,Huskies_M3
6.08,57.0,23.0,51.0,22.0,Launch,15.21,1,Huskies_M1,Huskies_M1
3.16,63.0,29.0,64.0,26.0,Simple pass,19.57,1,Huskies_F1,Huskies_M1
19.1,65.0,10.0,63.0,29.0,Simple pass,20.21,1,Huskies_M1,Huskies_M6
18.25,47.0,7.0,65.0,10.0,Simple pass,21.05,1,Huskies_M6,Huskies_D5
29.07,76.0,5.0,47.0,7.0,High pass,23.21,1,Huskies_D5,Huskies_M6
15.0,68.0,5.0,80.0,14.0,Simple pass,28.15,1,Opponent6_D3,Opponent6_M4
11.4,72.0,5.0,63.0,12.0,Simple pass,30.4,1,Huskies_M3,Huskies_M6
15.65,66.0,10.0,80.0,3.0,Simple pass,34.54,1,Opponent6_D3,Opponent6_M3
51.55,14.0,56.0,30.0,7.0,Simple pass,47.0,1,Huskies_D3,Huskies_G1
63.13,69.0,25.0,14.0,56.0,Launch,55.66,1,Huskies_G1,Huskies_F1
14.87,56.0,63.0,66.0,74.0,Simple pass,80.29,1,Opponent6_D4,Opponent6_M5
13.04,57.0,76.0,56.0,63.0,Simple pass,82.28,1,Opponent6_M5,Opponent6_D4
12.08,30.0,67.0,19.0,62.0,Head pass,86.05,1,Huskies_D1,Huskies_M13
9.22,46.0,66.0,37.0,68.0,Simple pass,90.39,1,Opponent6_D2,Opponent6_M3
14.32,40.0,79.0,46.0,66.0,Simple pass,91.43,1,Opponent6_M3,Opponent6_M5
16.49,36.0,95.0,40.0,79.0,Simple pass,97.37,1,Opponent6_M5,Opponent6_D2
7.21,32.0,89.0,36.0,95.0,Simple pass,98.92,1,Opponent6_D2,Opponent6_M6
8.06,40.0,90.0,32.0,89.0,Simple pass,101.04,1,Opponent6_M6,Opponent6_M3
