Distance,EventDestination_x,EventDestination_y,EventOrigin_x,EventOrigin_y,EventSubType,EventTime,MatchPeriod,Source,Target
24.41,31.0,65.0,51.0,51.0,Simple pass,11.37,1,Huskies_M6,Huskies_D6
42.05,72.0,41.0,90.0,79.0,Simple pass,33.11,1,Opponent16_D1,Opponent16_M1
36.14,63.0,6.0,72.0,41.0,Simple pass,36.81,1,Opponent16_M1,Opponent16_D2
28.64,57.0,34.0,63.0,6.0,Simple pass,40.38,1,Opponent16_D2,Opponent16_M1
61.33,32.0,90.0,57.0,34.0,High pass,43.22,1,Opponent16_M1,Opponent16_F1
30.0,68.0,40.0,68.0,70.0,Simple pass,55.98,1,Opponent16_D1,Opponent16_D4
9.0,59.0,40.0,68.0,40.0,Simple pass,58.06,1,Opponent16_D4,Opponent16_M1
30.02,58.0,10.0,59.0,40.0,Simple pass,61.08,1,Opponent16_M1,Opponent16_D2
22.09,36.0,8.0,58.0,10.0,Simple pass,62.42,1,Opponent16_D2,Opponent16_F2
20.62,31.0,28.0,36.0,8.0,Simple pass,64.19,1,Opponent16_F2,Opponent16_M2
21.63,49.0,40.0,31.0,28.0,Simple pass,65.39,1,Opponent16_M2,Opponent16_M1
44.41,13.0,14.0,49.0,40.0,High pass,69.68,1,Opponent16_M1,Opponent16_F2
3.16,65.0,72.0,68.0,73.0,Simple pass,104.11,1,Opponent16_M3,Opponent16_F1
11.4,61.0,42.0,64.0,53.0,Simple pass,110.95,1,Huskies_M6,Huskies_M4
32.2,42.0,16.0,61.0,42.0,Simple pass,111.61,1,Huskies_M4,Huskies_D5
28.79,32.0,43.0,42.0,16.0,Simple pass,114.37,1,Huskies_D5,Huskies_D2
18.03,13.0,27.0,31.0,28.0,Simple pass,121.61,1,Opponent16_M2,Opponent16_F2
10.0,23.0,27.0,13.0,27.0,Simple pass,126.07,1,Opponent16_F2,Opponent16_M1
57.31,29.0,95.0,57.0,45.0,High pass,266.59,1,Opponent16_M1,Opponent16_D3
26.42,42.0,72.0,29.0,95.0,Simple pass,270.44,1,Opponent16_D3,Opponent16_M3
24.84,26.0,91.0,42.0,72.0,Simple pass,274.34,1,Opponent16_M3,Opponent16_D3
18.03,36.0,76.0,26.0,91.0,Simple pass,276.77,1,Opponent16_D3,Opponent16_M3
7.81,42.0,71.0,36.0,76.0,Simple pass,279.39,1,Opponent16_M3,Opponent16_D1
37.59,60.0,38.0,42.0,71.0,Simple pass,281.57,1,Opponent16_D1,Opponent16_D4
