Id,Label
0.0,Huskies_F6
1.0,Opponent19_M5
2.0,Huskies_M6
3.0,Opponent19_F1
4.0,Huskies_D6
5.0,Huskies_M3
6.0,Huskies_M3
7.0,Huskies_D5
8.0,Opponent19_D4
9.0,Huskies_M3
10.0,Opponent19_M1
11.0,Opponent19_M5
12.0,Opponent19_M4
13.0,Opponent19_M5
14.0,Huskies_D5
15.0,Opponent19_D1
16.0,Opponent19_D2
17.0,Opponent19_G1
18.0,Opponent19_D3
19.0,Huskies_M6
20.0,Opponent19_M4
21.0,Opponent19_F2
22.0,Opponent19_M5
23.0,Huskies_M3
24.0,Huskies_D5
25.0,Huskies_D2
26.0,Huskies_D5
27.0,Huskies_M13
28.0,Opponent19_D1
29.0,Opponent19_D3
30.0,Huskies_D6
31.0,Huskies_M9
32.0,Huskies_M6
33.0,Huskies_D5
34.0,Huskies_F6
35.0,Huskies_M13
36.0,Huskies_D7
37.0,Huskies_D6
38.0,Huskies_D2
39.0,Opponent19_D4
40.0,Opponent19_F2
41.0,Opponent19_M5
42.0,Opponent19_F1
43.0,Opponent19_M4
44.0,Opponent19_M1
45.0,Opponent19_F1
46.0,Opponent19_F1
47.0,Opponent19_M3
48.0,Opponent19_M1
49.0,Opponent19_M5
50.0,Opponent19_D1
51.0,Huskies_M6
52.0,Huskies_M13
53.0,Opponent19_F2
54.0,Opponent19_D4
55.0,Huskies_F5
56.0,Huskies_M9
57.0,Huskies_M6
58.0,Huskies_M9
59.0,Huskies_F5
60.0,Huskies_D6
61.0,Huskies_M13
62.0,Huskies_M3
63.0,Huskies_M13
64.0,Opponent19_D3
65.0,Opponent19_F2
66.0,Opponent19_F1
67.0,Opponent19_F2
68.0,Huskies_D5
69.0,Huskies_M6
70.0,Huskies_D5
71.0,Opponent19_D2
72.0,Huskies_D2
73.0,Huskies_D7
74.0,Huskies_F6
75.0,Huskies_D7
76.0,Huskies_D2
77.0,Huskies_M3
78.0,Huskies_D6
79.0,Huskies_D2
80.0,Huskies_D7
81.0,Huskies_F6
82.0,Huskies_D2
83.0,Huskies_M13
84.0,Huskies_D2
85.0,Huskies_M9
86.0,Huskies_D5
87.0,Opponent19_M3
88.0,Opponent19_D1
89.0,Opponent19_M5
90.0,Opponent19_M3
91.0,Opponent19_M5
92.0,Opponent19_D3
93.0,Opponent19_D2
94.0,Huskies_F5
95.0,Huskies_M3
96.0,Opponent19_F2
97.0,Opponent19_F2
98.0,Opponent19_M4
99.0,Huskies_D5
100.0,Huskies_M6
101.0,Opponent19_M1
102.0,Huskies_M9
103.0,Opponent19_F1
104.0,Opponent19_D1
105.0,Opponent19_M5
106.0,Opponent19_D3
107.0,Opponent19_D2
108.0,Opponent19_D3
109.0,Opponent19_M5
110.0,Opponent19_M5
111.0,Huskies_M3
112.0,Huskies_D2
113.0,Huskies_D5
114.0,Huskies_M3
115.0,Huskies_D7
116.0,Huskies_F6
117.0,Huskies_D7
118.0,Opponent19_F2
119.0,Opponent19_M3
120.0,Huskies_F5
121.0,Huskies_D5
122.0,Huskies_M9
123.0,Huskies_M13
124.0,Huskies_M6
125.0,Huskies_M6
126.0,Opponent19_M1
127.0,Huskies_D2
128.0,Huskies_G1
129.0,Huskies_D6
130.0,Opponent19_F1
131.0,Opponent19_F2
132.0,Huskies_M6
133.0,Huskies_D5
134.0,Opponent19_D3
135.0,Huskies_D7
136.0,Huskies_G1
137.0,Huskies_D2
138.0,Huskies_D7
139.0,Huskies_F6
140.0,Huskies_M13
141.0,Huskies_D7
142.0,Huskies_M3
143.0,Huskies_M13
144.0,Huskies_D5
145.0,Opponent19_G1
146.0,Opponent19_G1
147.0,Huskies_M13
148.0,Opponent19_D3
149.0,Huskies_M3
150.0,Huskies_F5
151.0,Huskies_M13
152.0,Huskies_F5
153.0,Opponent19_M5
154.0,Opponent19_D1
155.0,Opponent19_M3
156.0,Huskies_F6
157.0,Huskies_D7
158.0,Huskies_G1
159.0,Huskies_D2
160.0,Huskies_D6
161.0,Huskies_D7
162.0,Huskies_D6
163.0,Huskies_M3
164.0,Huskies_D6
165.0,Huskies_D2
166.0,Huskies_D5
167.0,Opponent19_M1
168.0,Huskies_M9
169.0,Huskies_M6
170.0,Huskies_M9
171.0,Huskies_D5
172.0,Huskies_M3
173.0,Huskies_F6
174.0,Huskies_F5
175.0,Huskies_M13
176.0,Huskies_M9
177.0,Huskies_M6
178.0,Huskies_D5
179.0,Huskies_M6
180.0,Huskies_M9
181.0,Huskies_D7
182.0,Huskies_F5
183.0,Huskies_M6
184.0,Huskies_D2
185.0,Opponent19_M5
186.0,Opponent19_D1
187.0,Opponent19_D2
188.0,Opponent19_D4
189.0,Opponent19_M4
190.0,Huskies_D5
191.0,Huskies_F5
192.0,Huskies_D2
193.0,Huskies_M3
194.0,Huskies_D5
195.0,Huskies_D2
196.0,Huskies_D6
197.0,Opponent19_G1
198.0,Opponent19_F1
199.0,Opponent19_D3
200.0,Opponent19_G1
201.0,Huskies_D5
202.0,Huskies_M3
203.0,Huskies_D7
204.0,Huskies_F6
205.0,Huskies_D7
206.0,Huskies_M13
207.0,Huskies_D2
208.0,Huskies_M9
209.0,Huskies_D5
210.0,Huskies_M9
211.0,Huskies_D5
212.0,Opponent19_D1
213.0,Huskies_D7
214.0,Huskies_F5
215.0,Huskies_M6
216.0,Huskies_M9
217.0,Huskies_M6
218.0,Huskies_D5
219.0,Opponent19_M1
220.0,Huskies_G1
221.0,Huskies_D6
222.0,Opponent19_M3
223.0,Opponent19_G1
224.0,Huskies_M3
225.0,Huskies_D5
226.0,Huskies_M9
227.0,Huskies_D2
228.0,Opponent19_G1
229.0,Huskies_M13
230.0,Huskies_D7
231.0,Huskies_D6
232.0,Huskies_D2
233.0,Huskies_M9
234.0,Huskies_M3
235.0,Huskies_D7
236.0,Huskies_D7
237.0,Huskies_F5
238.0,Huskies_D7
239.0,Huskies_F6
240.0,Huskies_M3
241.0,Opponent19_M4
242.0,Huskies_F5
243.0,Huskies_M13
244.0,Huskies_M6
245.0,Huskies_M9
246.0,Huskies_F5
247.0,Huskies_M3
248.0,Huskies_F5
249.0,Opponent19_F1
250.0,Huskies_M13
251.0,Huskies_M12
252.0,Huskies_M12
253.0,Huskies_D5
254.0,Huskies_G1
255.0,Opponent19_M4
256.0,Opponent19_D3
257.0,Huskies_D7
258.0,Huskies_G1
259.0,Huskies_M13
260.0,Huskies_F6
261.0,Huskies_F5
262.0,Huskies_F6
263.0,Huskies_M3
264.0,Huskies_D7
265.0,Huskies_M13
266.0,Huskies_D7
267.0,Opponent19_M3
268.0,Opponent19_M5
269.0,Opponent19_D3
270.0,Opponent19_M1
271.0,Opponent19_M3
272.0,Opponent19_D3
273.0,Opponent19_D2
274.0,Opponent19_D3
275.0,Opponent19_M5
276.0,Opponent19_D1
277.0,Opponent19_M3
278.0,Opponent19_D1
279.0,Opponent19_M1
280.0,Opponent19_D2
281.0,Opponent19_D4
282.0,Opponent19_M4
283.0,Opponent19_M3
284.0,Opponent19_F2
285.0,Huskies_M12
286.0,Opponent19_D3
287.0,Opponent19_D4
288.0,Huskies_M3
289.0,Huskies_M12
290.0,Huskies_D5
291.0,Huskies_D2
292.0,Huskies_D6
293.0,Huskies_D2
294.0,Huskies_M13
295.0,Huskies_D6
296.0,Opponent19_M3
297.0,Huskies_M6
298.0,Opponent19_D1
299.0,Opponent19_D2
300.0,Opponent19_G1
301.0,Opponent19_M3
302.0,Huskies_D2
303.0,Huskies_F6
304.0,Opponent19_D3
305.0,Opponent19_G1
306.0,Opponent19_D1
307.0,Opponent19_G1
308.0,Opponent19_M3
309.0,Huskies_F6
310.0,Huskies_D7
311.0,Huskies_D6
312.0,Opponent19_G1
313.0,Huskies_D6
314.0,Huskies_M3
315.0,Huskies_M12
316.0,Opponent19_D4
317.0,Opponent19_M3
318.0,Huskies_M13
319.0,Huskies_M3
320.0,Huskies_D5
321.0,Huskies_M12
322.0,Huskies_D7
323.0,Huskies_F6
324.0,Opponent19_F1
325.0,Opponent19_M5
326.0,Huskies_M13
327.0,Huskies_F2
328.0,Huskies_D2
329.0,Huskies_F2
330.0,Huskies_M3
331.0,Huskies_F2
332.0,Huskies_D6
333.0,Opponent19_M1
334.0,Opponent19_D2
335.0,Opponent19_G1
336.0,Opponent19_F2
337.0,Opponent19_M5
338.0,Opponent19_D1
339.0,Opponent19_M1
340.0,Opponent19_D3
341.0,Opponent19_D2
342.0,Opponent19_D4
343.0,Huskies_D2
344.0,Huskies_G1
345.0,Huskies_D7
346.0,Huskies_D6
347.0,Huskies_D2
348.0,Huskies_F2
349.0,Huskies_D2
350.0,Huskies_D7
351.0,Huskies_F5
352.0,Huskies_D6
353.0,Huskies_D2
354.0,Huskies_D6
355.0,Huskies_G1
356.0,Huskies_F2
357.0,Huskies_D6
358.0,Huskies_F5
359.0,Huskies_M6
360.0,Opponent19_D1
361.0,Opponent19_M5
362.0,Opponent19_F1
363.0,Opponent19_M3
364.0,Opponent19_F2
365.0,Huskies_M6
366.0,Opponent19_D4
367.0,Huskies_D2
368.0,Huskies_F2
369.0,Opponent19_M1
370.0,Huskies_D6
371.0,Huskies_G1
372.0,Huskies_D2
373.0,Huskies_D5
374.0,Huskies_F2
375.0,Huskies_D5
376.0,Huskies_M3
377.0,Huskies_D5
378.0,Huskies_D2
379.0,Opponent19_M1
380.0,Opponent19_F2
381.0,Huskies_D7
382.0,Huskies_G1
383.0,Huskies_D2
384.0,Huskies_F2
385.0,Opponent19_D1
386.0,Huskies_F2
387.0,Huskies_D2
388.0,Huskies_D5
389.0,Huskies_M12
390.0,Huskies_D5
391.0,Huskies_D2
392.0,Huskies_M3
393.0,Huskies_D7
394.0,Huskies_M12
395.0,Huskies_F2
396.0,Huskies_F6
397.0,Huskies_M3
398.0,Huskies_F2
399.0,Huskies_D5
400.0,Huskies_M12
401.0,Opponent19_D4
402.0,Opponent19_M5
403.0,Opponent19_F2
404.0,Opponent19_M1
405.0,Opponent19_F1
406.0,Opponent19_M1
407.0,Huskies_D6
408.0,Huskies_G1
409.0,Huskies_M12
410.0,Huskies_D2
411.0,Huskies_F2
412.0,Huskies_G1
413.0,Opponent19_D4
414.0,Huskies_F6
415.0,Opponent19_F1
416.0,Huskies_F6
417.0,Opponent19_D3
418.0,Opponent19_M4
419.0,Opponent19_D1
420.0,Huskies_F2
421.0,Opponent19_D1
422.0,Opponent19_M1
423.0,Huskies_G1
424.0,Huskies_D6
425.0,Huskies_M3
426.0,Huskies_D6
427.0,Huskies_D2
428.0,Huskies_M12
429.0,Opponent19_M4
430.0,Opponent19_D4
431.0,Opponent19_D1
432.0,Huskies_D7
433.0,Huskies_F2
434.0,Opponent19_D1
435.0,Opponent19_D3
436.0,Opponent19_D1
437.0,Opponent19_F2
438.0,Opponent19_M2
439.0,Opponent19_D4
440.0,Opponent19_M4
441.0,Opponent19_D4
442.0,Opponent19_F2
443.0,Opponent19_D1
444.0,Huskies_D6
445.0,Huskies_F6
446.0,Huskies_F4
447.0,Huskies_M12
448.0,Huskies_D5
449.0,Huskies_M6
450.0,Opponent19_D1
451.0,Huskies_M12
452.0,Huskies_D5
453.0,Opponent19_D4
454.0,Huskies_M12
455.0,Opponent19_M2
456.0,Opponent19_M4
457.0,Opponent19_F2
458.0,Opponent19_D4
459.0,Opponent19_M1
460.0,Opponent19_D3
461.0,Huskies_M6
462.0,Huskies_F4
463.0,Opponent19_D3
464.0,Opponent19_G1
465.0,Huskies_D2
466.0,Huskies_M3
467.0,Huskies_F2
468.0,Opponent19_G1
469.0,Huskies_D6
470.0,Huskies_D2
471.0,Huskies_D5
472.0,Huskies_M12
473.0,Huskies_D5
474.0,Huskies_F2
475.0,Huskies_M12
476.0,Huskies_D5
477.0,Huskies_F2
478.0,Huskies_D5
479.0,Huskies_D6
480.0,Opponent19_M5
481.0,Huskies_D6
482.0,Huskies_F2
483.0,Huskies_D2
484.0,Huskies_M3
485.0,Huskies_F2
486.0,Huskies_D5
487.0,Huskies_F2
488.0,Huskies_M12
489.0,Huskies_F2
490.0,Huskies_D2
491.0,Huskies_D5
492.0,Huskies_F2
493.0,Opponent19_M5
494.0,Huskies_D7
495.0,Opponent19_D5
496.0,Huskies_D2
497.0,Huskies_D7
498.0,Huskies_D6
499.0,Opponent19_M6
500.0,Opponent19_D1
501.0,Opponent19_D1
502.0,Opponent19_D4
503.0,Opponent19_D5
504.0,Opponent19_D5
505.0,Huskies_D6
