Distance,EventDestination_x,EventDestination_y,EventOrigin_x,EventOrigin_y,EventSubType,EventTime,MatchPeriod,Source,Target
25.08,59.0,95.0,34.0,97.0,Head pass,46.32,1,Huskies_D1,Huskies_F1
16.12,69.0,91.0,53.0,89.0,Simple pass,51.02,1,Huskies_M1,Huskies_F2
36.77,95.0,50.0,81.0,84.0,Simple pass,89.01,1,Opponent1_D2,Opponent1_G1
62.29,33.0,56.0,95.0,50.0,Launch,92.22,1,Opponent1_G1,Opponent1_F1
6.08,36.0,54.0,42.0,55.0,Simple pass,98.27,1,Huskies_M2,Huskies_M3
11.05,69.0,78.0,70.0,89.0,Simple pass,109.03,1,Opponent1_D1,Opponent1_F2
4.12,73.0,77.0,69.0,78.0,Simple pass,111.03,1,Opponent1_F2,Opponent1_D2
19.24,64.0,94.0,73.0,77.0,High pass,112.86,1,Opponent1_D2,Opponent1_M1
18.97,52.0,97.0,34.0,91.0,Head pass,130.66,1,Huskies_D1,Huskies_F1
44.05,54.0,44.0,52.0,88.0,Simple pass,151.85,1,Opponent1_F2,Opponent1_D3
15.62,44.0,32.0,54.0,44.0,Simple pass,154.64,1,Opponent1_D3,Opponent1_M2
15.3,11.0,50.0,14.0,65.0,Simple pass,161.22,1,Huskies_D1,Huskies_G1
7.81,5.0,45.0,11.0,50.0,Hand pass,164.63,1,Huskies_G1,Huskies_G1
30.41,22.0,62.0,17.0,92.0,Simple pass,247.47,1,Huskies_D1,Huskies_D2
38.12,19.0,24.0,22.0,62.0,Simple pass,249.69,1,Huskies_D2,Huskies_D3
23.71,8.0,45.0,19.0,24.0,Simple pass,251.51,1,Huskies_D3,Huskies_G1
33.84,19.0,13.0,8.0,45.0,Simple pass,257.3,1,Huskies_G1,Huskies_D3
25.96,12.0,38.0,19.0,13.0,Simple pass,259.61,1,Huskies_D3,Huskies_G1
26.93,55.0,24.0,48.0,50.0,Simple pass,286.5,1,Huskies_D2,Huskies_D3
19.65,60.0,5.0,55.0,24.0,Simple pass,288.28,1,Huskies_D3,Huskies_D4
31.38,33.0,21.0,60.0,5.0,Simple pass,291.12,1,Huskies_D4,Huskies_D3
52.2,15.0,70.0,33.0,21.0,Simple pass,294.67,1,Huskies_D3,Huskies_G1
53.54,60.0,99.0,15.0,70.0,High pass,298.52,1,Huskies_G1,Huskies_F1
7.62,38.0,91.0,45.0,88.0,Simple pass,318.88,1,Opponent1_M1,Opponent1_D1
20.0,35.0,86.0,19.0,98.0,Simple pass,325.78,1,Huskies_D1,Huskies_M3
12.08,30.0,97.0,35.0,86.0,Simple pass,329.57,1,Huskies_M3,Huskies_M1
32.0,47.0,27.0,47.0,59.0,Simple pass,349.65,1,Huskies_M2,Huskies_D3
13.15,45.0,40.0,47.0,27.0,Simple pass,352.6,1,Huskies_D3,Huskies_M3
28.07,47.0,12.0,45.0,40.0,Simple pass,354.42,1,Huskies_M3,Huskies_D3
8.54,73.0,35.0,81.0,32.0,Simple pass,380.02,1,Opponent1_D4,Opponent1_M3
25.0,73.0,10.0,73.0,35.0,Simple pass,380.84,1,Opponent1_M3,Opponent1_D3
42.54,25.0,94.0,8.0,55.0,Hand pass,390.71,1,Huskies_G1,Huskies_D1
39.01,24.0,55.0,25.0,94.0,Simple pass,395.61,1,Huskies_D1,Huskies_D2
35.0,24.0,20.0,24.0,55.0,Simple pass,398.39,1,Huskies_D2,Huskies_D3
9.0,33.0,20.0,24.0,20.0,Simple pass,401.47,1,Huskies_D3,Huskies_M2
15.0,33.0,35.0,33.0,20.0,Simple pass,402.51,1,Huskies_M2,Huskies_M3
14.21,24.0,24.0,33.0,35.0,Simple pass,403.23,1,Huskies_M3,Huskies_D3
44.28,29.0,68.0,24.0,24.0,Simple pass,405.51,1,Huskies_D3,Huskies_D2
20.4,25.0,88.0,29.0,68.0,Simple pass,409.4,1,Huskies_D2,Huskies_D1
12.53,31.0,99.0,25.0,88.0,Simple pass,411.01,1,Huskies_D1,Huskies_M1
11.7,27.0,88.0,31.0,99.0,Simple pass,413.9,1,Huskies_M1,Huskies_D1
35.06,29.0,53.0,27.0,88.0,Simple pass,415.52,1,Huskies_D1,Huskies_D2
39.81,37.0,14.0,29.0,53.0,Simple pass,417.78,1,Huskies_D2,Huskies_D3
5.39,42.0,16.0,37.0,14.0,Simple pass,421.15,1,Huskies_D3,Huskies_M2
38.47,36.0,54.0,42.0,16.0,Simple pass,423.25,1,Huskies_M2,Huskies_D2
31.26,32.0,85.0,36.0,54.0,Simple pass,426.78,1,Huskies_D2,Huskies_D1
32.45,59.0,67.0,32.0,85.0,Simple pass,429.55,1,Huskies_D1,Huskies_F2
20.62,53.0,50.0,58.0,70.0,Simple pass,432.04,1,Opponent1_M3,Opponent1_F2
7.21,59.0,46.0,53.0,50.0,Simple pass,435.13,1,Opponent1_F2,Opponent1_D3
27.02,86.0,45.0,59.0,46.0,Simple pass,437.28,1,Opponent1_D3,Opponent1_G1
37.2,64.0,15.0,86.0,45.0,Simple pass,440.93,1,Opponent1_G1,Opponent1_D3
15.81,59.0,30.0,64.0,15.0,Simple pass,446.43,1,Opponent1_D3,Opponent1_M3
57.87,49.0,87.0,59.0,30.0,Simple pass,448.82,1,Opponent1_M3,Opponent1_D2
33.02,16.0,88.0,49.0,87.0,High pass,452.25,1,Opponent1_D2,Opponent1_D1
16.55,23.0,81.0,38.0,74.0,Simple pass,470.53,1,Huskies_M3,Huskies_D1
26.93,33.0,56.0,23.0,81.0,Simple pass,472.35,1,Huskies_D1,Huskies_D2
40.05,31.0,16.0,33.0,56.0,Simple pass,475.82,1,Huskies_D2,Huskies_D3
43.19,35.0,59.0,31.0,16.0,Simple pass,478.06,1,Huskies_D3,Huskies_D2
17.12,37.0,42.0,35.0,59.0,Simple pass,483.46,1,Huskies_D2,Huskies_M3
42.19,41.0,84.0,37.0,42.0,Simple pass,486.9,1,Huskies_M3,Huskies_D2
15.26,49.0,97.0,41.0,84.0,Simple pass,488.64,1,Huskies_D2,Huskies_M1
14.21,40.0,86.0,49.0,97.0,Simple pass,492.91,1,Huskies_M1,Huskies_D1
40.11,43.0,46.0,40.0,86.0,Simple pass,495.2,1,Huskies_D1,Huskies_D2
33.02,44.0,13.0,43.0,46.0,Simple pass,499.18,1,Huskies_D2,Huskies_D3
36.01,45.0,52.0,46.0,16.0,Simple pass,504.4,1,Opponent1_F3,Opponent1_F2
16.0,45.0,68.0,45.0,52.0,Simple pass,506.68,1,Opponent1_F2,Opponent1_M2
12.65,57.0,72.0,45.0,68.0,Simple pass,510.87,1,Opponent1_M2,Opponent1_D1
10.2,59.0,62.0,57.0,72.0,Simple pass,512.29,1,Opponent1_D1,Opponent1_D2
34.23,43.0,14.0,39.0,48.0,Simple pass,516.92,1,Opponent1_D2,Opponent1_M3
44.27,1.0,28.0,43.0,14.0,Smart pass,520.31,1,Opponent1_M3,Opponent1_F3
39.62,45.0,71.0,38.0,32.0,Simple pass,605.78,1,Opponent1_M3,Opponent1_D1
5.39,40.0,73.0,45.0,71.0,Simple pass,607.67,1,Opponent1_D1,Opponent1_M1
21.95,29.0,92.0,40.0,73.0,Simple pass,609.74,1,Opponent1_M1,Opponent1_M2
7.21,33.0,86.0,29.0,92.0,Simple pass,611.63,1,Opponent1_M2,Opponent1_F2
24.04,10.0,93.0,33.0,86.0,Smart pass,614.12,1,Opponent1_F2,Opponent1_M2
22.56,25.0,90.0,47.0,85.0,Head pass,628.55,1,Opponent1_D2,Opponent1_F2
11.4,32.0,72.0,35.0,61.0,Simple pass,634.32,1,Huskies_D2,Huskies_F2
