Distance,EventDestination_x,EventDestination_y,EventOrigin_x,EventOrigin_y,EventSubType,EventTime,MatchPeriod,Source,Target
21.26,34.0,35.0,50.0,49.0,Simple pass,3.07,1,Huskies_F6,Huskies_M3
22.2,58.0,7.0,61.0,29.0,Head pass,12.42,1,Opponent19_M5,Opponent19_M4
10.63,59.0,4.0,67.0,11.0,Simple pass,35.61,1,Huskies_M6,Huskies_D5
24.35,2.0,4.0,25.0,12.0,Simple pass,43.8,1,Opponent19_F1,Opponent19_M4
39.81,96.0,87.0,57.0,95.0,Simple pass,86.07,1,Huskies_D6,Huskies_F5
21.19,43.0,2.0,36.0,22.0,Head pass,122.96,1,Huskies_M3,Huskies_M9
5.39,34.0,4.0,29.0,6.0,Simple pass,182.69,1,Huskies_M3,Huskies_D5
30.27,64.0,8.0,34.0,4.0,Launch,183.41,1,Huskies_D5,Huskies_F5
31.62,23.0,28.0,41.0,2.0,Simple pass,218.09,1,Opponent19_D4,Opponent19_F1
32.0,27.0,61.0,27.0,29.0,Simple pass,224.62,1,Huskies_M3,Huskies_D6
10.3,60.0,33.0,55.0,42.0,Simple pass,258.89,1,Opponent19_M1,Opponent19_M5
34.99,42.0,3.0,60.0,33.0,Simple pass,263.18,1,Opponent19_M5,Opponent19_M4
19.03,41.0,22.0,42.0,3.0,Simple pass,265.44,1,Opponent19_M4,Opponent19_M5
20.0,29.0,6.0,41.0,22.0,Simple pass,273.89,1,Opponent19_M5,Opponent19_M4
7.81,29.0,0.0,24.0,6.0,Simple pass,277.49,1,Huskies_D5,Huskies_D5
29.07,55.0,6.0,57.0,35.0,Head pass,303.19,1,Opponent19_D1,Opponent19_D4
58.22,75.0,73.0,80.0,15.0,Head pass,310.99,1,Opponent19_D2,Opponent19_D3
33.24,58.0,82.0,81.0,58.0,Simple pass,323.68,1,Opponent19_G1,Opponent19_D3
5.1,63.0,83.0,58.0,82.0,Simple pass,329.76,1,Opponent19_D3,Opponent19_D3
20.02,72.0,96.0,71.0,76.0,Simple pass,345.23,1,Huskies_M6,Huskies_D7
27.31,13.0,41.0,24.0,66.0,Simple pass,361.81,1,Opponent19_M4,Opponent19_M5
12.73,46.0,63.0,55.0,54.0,Simple pass,406.49,1,Opponent19_F2,Opponent19_M5
37.12,13.0,46.0,46.0,63.0,High pass,409.66,1,Opponent19_M5,Opponent19_F1
22.09,40.0,18.0,38.0,40.0,Simple pass,475.02,1,Huskies_M3,Huskies_D5
26.4,19.0,34.0,40.0,18.0,Simple pass,476.05,1,Huskies_D5,Huskies_D2
19.42,8.0,50.0,19.0,34.0,Simple pass,478.96,1,Huskies_D2,Huskies_G1
36.22,42.0,42.0,38.0,6.0,Head pass,489.74,1,Huskies_D5,Huskies_M13
22.83,31.0,62.0,42.0,42.0,Simple pass,492.29,1,Huskies_M13,Huskies_D7
17.0,74.0,76.0,74.0,93.0,Simple pass,496.98,1,Opponent19_D1,Opponent19_D3
19.03,93.0,75.0,74.0,76.0,Simple pass,500.64,1,Opponent19_D3,Opponent19_G1
62.39,64.0,5.0,41.0,63.0,High pass,510.52,1,Huskies_D6,Huskies_M9
10.82,55.0,11.0,64.0,5.0,Simple pass,515.49,1,Huskies_M9,Huskies_M6
14.32,42.0,5.0,55.0,11.0,Simple pass,519.31,1,Huskies_M6,Huskies_D5
33.53,32.0,37.0,42.0,5.0,Simple pass,521.93,1,Huskies_D5,Huskies_D2
30.41,56.0,73.0,78.0,94.0,Simple pass,529.3,1,Huskies_F6,Huskies_M13
20.1,54.0,93.0,56.0,73.0,Simple pass,530.69,1,Huskies_M13,Huskies_D7
