Distance,EventDestination_x,EventDestination_y,EventOrigin_x,EventOrigin_y,EventSubType,EventTime,MatchPeriod,Source,Target
25.06,28.0,37.0,50.0,49.0,Simple pass,2.71,1,Huskies_F6,Huskies_D1
8.06,76.0,17.0,72.0,24.0,Simple pass,8.2,1,Huskies_M12,Huskies_F5
13.6,80.0,30.0,76.0,17.0,Simple pass,8.63,1,Huskies_F5,Huskies_F2
5.1,75.0,31.0,80.0,30.0,Simple pass,9.33,1,Huskies_F2,Huskies_F5
6.4,79.0,26.0,75.0,31.0,Simple pass,10.12,1,Huskies_F5,Huskies_F2
13.04,68.0,33.0,79.0,26.0,Simple pass,10.78,1,Huskies_F2,Huskies_M1
27.86,32.0,65.0,22.0,39.0,Simple pass,19.38,1,Huskies_G1,Huskies_D3
11.4,35.0,54.0,32.0,65.0,Simple pass,21.95,1,Huskies_D3,Huskies_M3
17.26,32.0,71.0,35.0,54.0,Simple pass,23.96,1,Huskies_M3,Huskies_D3
41.23,16.0,33.0,32.0,71.0,Simple pass,25.95,1,Huskies_D3,Huskies_G1
30.0,63.0,57.0,45.0,81.0,Simple pass,68.95,1,Opponent18_M7,Opponent18_M8
14.21,54.0,68.0,63.0,57.0,Simple pass,71.56,1,Opponent18_M8,Opponent18_M7
13.04,67.0,69.0,54.0,68.0,Simple pass,73.7,1,Opponent18_M7,Opponent18_D1
33.38,72.0,36.0,67.0,69.0,Simple pass,75.57,1,Opponent18_D1,Opponent18_D2
26.25,52.0,19.0,72.0,36.0,Simple pass,80.28,1,Opponent18_D2,Opponent14_F2
19.42,68.0,8.0,52.0,19.0,Simple pass,82.49,1,Opponent14_F2,Opponent18_D3
23.35,12.0,46.0,28.0,63.0,Simple pass,101.69,1,Huskies_D3,Huskies_G1
13.89,59.0,73.0,71.0,66.0,Simple pass,108.67,1,Huskies_F2,Huskies_M3
14.21,68.0,84.0,59.0,73.0,Simple pass,112.14,1,Huskies_M3,Huskies_F2
19.42,69.0,55.0,73.0,74.0,Simple pass,143.15,1,Opponent18_D1,Opponent18_M7
22.47,81.0,74.0,69.0,55.0,Simple pass,145.6,1,Opponent18_M7,Opponent18_D1
23.35,97.0,57.0,81.0,74.0,Simple pass,146.71,1,Opponent18_D1,Opponent18_G1
60.75,40.0,78.0,97.0,57.0,Launch,148.23,1,Opponent18_G1,Opponent18_F3
52.5,75.0,13.0,59.0,63.0,Simple pass,155.38,1,Opponent18_M7,Opponent18_D3
23.26,65.0,34.0,75.0,13.0,Simple pass,159.59,1,Opponent18_D3,Opponent18_M7
28.28,61.0,6.0,65.0,34.0,Simple pass,160.68,1,Opponent18_M7,Opponent18_M3
15.26,53.0,19.0,61.0,6.0,Simple pass,162.12,1,Opponent18_M3,Opponent14_F2
4.47,57.0,21.0,55.0,25.0,Simple pass,165.4,1,Opponent14_F2,Opponent18_M7
56.3,76.0,74.0,57.0,21.0,Simple pass,166.09,1,Opponent18_M7,Opponent18_D1
15.65,73.0,19.0,87.0,12.0,Head pass,192.94,1,Opponent18_D3,Opponent18_M7
15.52,77.0,4.0,73.0,19.0,Head pass,194.81,1,Opponent18_M7,Opponent18_M3
18.79,60.0,12.0,77.0,4.0,High pass,196.11,1,Opponent18_M3,Opponent18_F3
4.47,62.0,22.0,58.0,20.0,Simple pass,202.62,1,Opponent18_F3,Opponent18_M7
28.84,46.0,46.0,62.0,22.0,Simple pass,204.43,1,Opponent18_M7,Opponent14_F2
19.1,44.0,65.0,46.0,46.0,Simple pass,204.99,1,Opponent14_F2,Opponent18_M1
36.06,24.0,95.0,44.0,65.0,Simple pass,207.18,1,Opponent18_M1,Opponent18_D4
28.79,25.0,88.0,15.0,61.0,Launch,210.78,1,Huskies_D3,Huskies_F6
78.0,46.0,15.0,16.0,87.0,High pass,215.38,1,Huskies_D8,Huskies_M12
9.22,48.0,2.0,41.0,8.0,Simple pass,237.39,1,Opponent18_F3,Opponent18_D3
12.0,44.0,18.0,32.0,18.0,Simple pass,241.92,1,Huskies_M3,Huskies_M1
10.77,34.0,22.0,44.0,18.0,Simple pass,242.86,1,Huskies_M1,Huskies_F2
80.62,29.0,95.0,87.0,39.0,High pass,286.24,1,Opponent18_G1,Opponent18_F3
9.0,9.0,73.0,18.0,73.0,Simple pass,293.86,1,Opponent18_F3,Opponent18_M1
41.77,12.0,90.0,40.0,59.0,High pass,340.94,1,Opponent18_F3,Opponent18_M8
17.12,29.0,92.0,12.0,90.0,Simple pass,344.05,1,Opponent18_M8,Opponent18_M1
31.91,56.0,75.0,29.0,92.0,Simple pass,345.59,1,Opponent18_M1,Opponent18_D4
25.08,46.0,52.0,56.0,75.0,Simple pass,349.53,1,Opponent18_D4,Opponent18_M7
29.07,33.0,26.0,46.0,52.0,Simple pass,355.22,1,Opponent18_M7,Opponent14_F2
36.24,67.0,55.0,44.0,27.0,Simple pass,357.91,1,Huskies_M12,Huskies_F5
20.02,43.0,74.0,63.0,75.0,Simple pass,391.41,1,Opponent18_D1,Opponent18_M1
21.59,64.0,79.0,43.0,74.0,Simple pass,392.91,1,Opponent18_M1,Opponent18_D1
42.43,70.0,37.0,64.0,79.0,Simple pass,394.4,1,Opponent18_D1,Opponent18_D2
20.02,69.0,17.0,70.0,37.0,Simple pass,397.65,1,Opponent18_D2,Opponent18_D3
25.5,87.0,12.0,62.0,7.0,Simple pass,402.56,1,Opponent18_M3,Opponent18_D3
22.56,92.0,34.0,87.0,12.0,Simple pass,405.39,1,Opponent18_D3,Opponent18_G1
42.38,13.0,55.0,27.0,15.0,Simple pass,417.58,1,Huskies_D3,Huskies_G1
22.02,73.0,14.0,87.0,31.0,Hand pass,427.52,1,Opponent18_G1,Opponent18_D3
19.1,60.0,28.0,73.0,14.0,Simple pass,429.74,1,Opponent18_D3,Opponent18_M8
29.53,74.0,54.0,60.0,28.0,Simple pass,431.44,1,Opponent18_M8,Opponent18_D2
20.02,73.0,74.0,74.0,54.0,Simple pass,434.17,1,Opponent18_D2,Opponent18_D1
15.03,58.0,73.0,73.0,74.0,Simple pass,435.85,1,Opponent18_D1,Opponent18_M1
19.03,59.0,92.0,58.0,73.0,Simple pass,437.1,1,Opponent18_M1,Opponent18_D4
24.41,73.0,72.0,59.0,92.0,Simple pass,438.63,1,Opponent18_D4,Opponent18_D1
13.04,43.0,4.0,44.0,17.0,Simple pass,453.77,1,Opponent14_F2,Opponent18_D3
27.07,23.0,56.0,25.0,29.0,Simple pass,459.55,1,Opponent18_M3,Opponent18_M1
26.91,5.0,76.0,23.0,56.0,Simple pass,460.26,1,Opponent18_M1,Opponent18_F3
20.59,32.0,71.0,22.0,89.0,Simple pass,480.79,1,Opponent18_M7,Opponent18_M8
16.76,27.0,87.0,32.0,71.0,Simple pass,482.45,1,Opponent18_M8,Opponent18_M7
8.6,20.0,92.0,27.0,87.0,Simple pass,483.8,1,Opponent18_M7,Opponent18_F3
20.88,40.0,86.0,20.0,92.0,Simple pass,484.73,1,Opponent18_F3,Opponent18_M7
42.58,47.0,44.0,40.0,86.0,Simple pass,487.56,1,Opponent18_M7,Opponent18_D3
16.97,59.0,32.0,47.0,44.0,Simple pass,488.76,1,Opponent18_D3,Opponent18_D2
19.21,47.0,47.0,59.0,32.0,Simple pass,493.13,1,Opponent18_D2,Opponent18_M8
23.35,63.0,30.0,47.0,47.0,Simple pass,493.8,1,Opponent18_M8,Opponent18_D2
31.4,32.0,25.0,63.0,30.0,Simple pass,495.45,1,Opponent18_D2,Opponent14_F2
10.3,41.0,30.0,32.0,25.0,Simple pass,496.36,1,Opponent14_F2,Opponent18_M8
26.31,37.0,4.0,41.0,30.0,Simple pass,497.8,1,Opponent18_M8,Opponent18_M3
9.49,46.0,7.0,37.0,4.0,Simple pass,500.92,1,Opponent18_M3,Opponent18_D3
20.62,59.0,85.0,39.0,80.0,Head pass,539.95,1,Opponent18_M7,Opponent18_D1
26.63,81.0,70.0,59.0,85.0,Simple pass,541.98,1,Opponent18_D1,Opponent18_G1
39.81,73.0,31.0,81.0,70.0,Simple pass,545.63,1,Opponent18_G1,Opponent18_D2
