Distance,EventDestination_x,EventDestination_y,EventOrigin_x,EventOrigin_y,EventSubType,EventTime,MatchPeriod,Source,Target
20.62,69.0,39.0,53.0,52.0,Simple pass,0.91,1,Opponent13_M1,Opponent13_D5
64.54,20.0,81.0,69.0,39.0,High pass,3.91,1,Opponent13_D5,Opponent13_M6
14.56,20.0,70.0,16.0,84.0,Head pass,7.6,1,Opponent13_M6,Opponent13_F1
37.34,33.0,44.0,38.0,81.0,Simple pass,36.74,1,Huskies_M4,Huskies_M1
41.68,6.0,4.0,27.0,40.0,Simple pass,41.31,1,Opponent13_M1,Opponent13_D3
20.62,22.0,86.0,14.0,67.0,Hand pass,59.44,1,Huskies_G1,Huskies_D3
13.89,34.0,93.0,22.0,86.0,Simple pass,62.98,1,Huskies_D3,Huskies_D8
41.01,75.0,92.0,34.0,93.0,High pass,65.68,1,Huskies_D8,Huskies_M12
37.59,67.0,58.0,85.0,91.0,Simple pass,70.2,1,Opponent13_D4,Opponent13_M2
34.79,78.0,25.0,67.0,58.0,Simple pass,72.82,1,Opponent13_M2,Opponent13_D6
17.12,76.0,8.0,78.0,25.0,Simple pass,74.54,1,Opponent13_D6,Opponent13_D3
10.63,84.0,15.0,76.0,8.0,Simple pass,78.46,1,Opponent13_D3,Opponent13_D6
59.64,35.0,49.0,84.0,15.0,High pass,80.67,1,Opponent13_D6,Opponent13_M1
13.93,46.0,45.0,51.0,58.0,Simple pass,89.6,1,Opponent13_M6,Opponent13_M7
26.17,28.0,64.0,46.0,45.0,Simple pass,92.14,1,Opponent13_M7,Opponent13_M1
11.18,26.0,75.0,28.0,64.0,Simple pass,93.84,1,Opponent13_M1,Opponent13_M6
35.11,38.0,42.0,26.0,75.0,Simple pass,96.6,1,Opponent13_M6,Opponent13_M7
12.17,40.0,54.0,38.0,42.0,Simple pass,98.45,1,Opponent13_M7,Opponent13_M2
41.48,29.0,94.0,40.0,54.0,Simple pass,100.22,1,Opponent13_M2,Opponent13_D4
22.67,44.0,77.0,29.0,94.0,Simple pass,102.94,1,Opponent13_D4,Opponent13_M2
66.13,67.0,15.0,44.0,77.0,Simple pass,105.31,1,Opponent13_M2,Opponent13_D6
18.6,26.0,25.0,41.0,14.0,Simple pass,113.01,1,Opponent13_D6,Opponent13_M1
11.18,30.0,23.0,19.0,25.0,Simple pass,115.64,1,Huskies_D1,Huskies_M1
44.01,37.0,93.0,38.0,49.0,Simple pass,120.93,1,Huskies_M1,Huskies_D8
16.49,57.0,79.0,61.0,95.0,Simple pass,127.53,1,Huskies_D8,Huskies_M1
73.82,68.0,6.0,57.0,79.0,High pass,130.72,1,Huskies_M1,Huskies_D4
12.04,59.0,14.0,68.0,6.0,Simple pass,138.05,1,Huskies_D4,Huskies_M3
27.46,64.0,41.0,59.0,14.0,Simple pass,139.96,1,Huskies_M3,Huskies_M1
15.23,58.0,27.0,64.0,41.0,Simple pass,142.95,1,Huskies_M1,Huskies_M3
40.05,60.0,67.0,58.0,27.0,Simple pass,145.15,1,Huskies_M3,Huskies_D3
29.15,63.0,96.0,60.0,67.0,Simple pass,148.13,1,Huskies_D3,Huskies_D8
22.2,64.0,73.0,67.0,95.0,Simple pass,156.17,1,Huskies_D8,Huskies_M1
19.65,59.0,54.0,64.0,73.0,Simple pass,158.37,1,Huskies_M1,Huskies_M3
37.7,73.0,19.0,59.0,54.0,Simple pass,160.83,1,Huskies_M3,Huskies_M4
11.18,51.0,54.0,46.0,44.0,Simple pass,204.77,1,Opponent13_M7,Opponent13_M2
34.37,46.0,20.0,51.0,54.0,Simple pass,206.49,1,Opponent13_M2,Opponent13_D6
27.51,37.0,46.0,46.0,20.0,Simple pass,211.55,1,Opponent13_D6,Opponent13_M7
49.34,22.0,93.0,37.0,46.0,Simple pass,216.05,1,Opponent13_M7,Opponent13_D4
4.47,40.0,12.0,36.0,10.0,Head pass,251.2,1,Opponent13_D3,Opponent13_D6
39.05,26.0,91.0,24.0,52.0,Simple pass,257.35,1,Huskies_D3,Huskies_D8
2.0,47.0,91.0,47.0,93.0,Simple pass,277.12,1,Huskies_M1,Huskies_D8
56.72,49.0,7.0,40.0,63.0,Simple pass,287.13,1,Huskies_M3,Huskies_D4
8.06,57.0,6.0,49.0,7.0,Simple pass,290.65,1,Huskies_D4,Huskies_M9
10.44,47.0,9.0,57.0,6.0,Simple pass,292.07,1,Huskies_M9,Huskies_D4
18.68,52.0,27.0,47.0,9.0,Simple pass,293.14,1,Huskies_D4,Huskies_M3
23.85,65.0,7.0,52.0,27.0,Simple pass,298.91,1,Huskies_M3,Huskies_D4
7.07,72.0,6.0,65.0,7.0,Simple pass,301.84,1,Huskies_D4,Huskies_M4
9.06,71.0,15.0,72.0,6.0,Simple pass,302.91,1,Huskies_M4,Huskies_D4
49.73,29.0,72.0,42.0,24.0,Head pass,307.98,1,Huskies_D1,Huskies_D3
41.63,12.0,34.0,29.0,72.0,Simple pass,311.83,1,Huskies_D3,Huskies_G1
28.46,63.0,81.0,54.0,54.0,Simple pass,342.99,1,Huskies_D1,Huskies_M1
