Distance,EventDestination_x,EventDestination_y,EventOrigin_x,EventOrigin_y,EventSubType,EventTime,MatchPeriod,Source,Target
24.7,28.0,38.0,49.0,51.0,Simple pass,1.56,1,Huskies_F6,Huskies_D1
58.59,80.0,11.0,28.0,38.0,High pass,4.94,1,Huskies_D1,Huskies_F5
5.0,85.0,15.0,88.0,11.0,Cross,9.85,1,Huskies_M12,Huskies_F5
12.17,68.0,18.0,70.0,30.0,Simple pass,12.46,1,Opponent16_F3,Opponent16_F6
14.42,76.0,30.0,64.0,22.0,Simple pass,15.7,1,Huskies_D1,Huskies_F5
17.26,79.0,13.0,76.0,30.0,Simple pass,17.0,1,Huskies_F5,Huskies_M12
7.28,85.0,10.0,87.0,17.0,Simple pass,43.12,1,Huskies_M12,Huskies_D4
5.1,84.0,5.0,85.0,10.0,Simple pass,44.02,1,Huskies_D4,Huskies_M3
4.24,89.0,13.0,86.0,16.0,Head pass,47.67,1,Huskies_M4,Huskies_M4
7.21,90.0,8.0,94.0,14.0,Simple pass,54.91,1,Opponent16_M1,Opponent16_M4
24.33,66.0,12.0,90.0,8.0,High pass,55.32,1,Opponent16_M4,Opponent16_F3
32.89,22.0,9.0,33.0,40.0,Head pass,60.94,1,Huskies_D3,Huskies_D1
25.02,47.0,8.0,22.0,9.0,Simple pass,65.86,1,Huskies_D1,Huskies_D4
40.72,73.0,88.0,56.0,51.0,Simple pass,73.89,1,Huskies_F5,Huskies_D8
16.03,68.0,64.0,84.0,65.0,Head pass,79.24,1,Opponent13_D1,Opponent16_F3
18.68,63.0,11.0,68.0,29.0,Simple pass,82.77,1,Huskies_M4,Huskies_D4
6.0,48.0,56.0,48.0,50.0,Simple pass,102.62,1,Opponent16_F3,Opponent16_M3
41.11,35.0,95.0,48.0,56.0,Simple pass,102.7,1,Opponent16_M3,Opponent16_D1
13.34,38.0,82.0,35.0,95.0,Simple pass,106.68,1,Opponent16_D1,Opponent16_M3
18.68,43.0,64.0,38.0,82.0,Simple pass,108.94,1,Opponent16_M3,Opponent16_M4
