Distance,EventDestination_x,EventDestination_y,EventOrigin_x,EventOrigin_y,EventSubType,EventTime,MatchPeriod,Source,Target
13.89,63.0,56.0,51.0,49.0,Simple pass,2.3,1,Opponent11_M1,Opponent11_M2
37.34,68.0,19.0,63.0,56.0,Simple pass,2.97,1,Opponent11_M2,Opponent11_D1
18.6,57.0,4.0,68.0,19.0,Simple pass,5.17,1,Opponent11_D1,Opponent11_M3
18.44,43.0,16.0,57.0,4.0,Simple pass,6.82,1,Opponent11_M3,Opponent11_M4
18.03,70.0,3.0,69.0,21.0,Simple pass,41.11,1,Opponent11_M2,Opponent11_D1
17.72,65.0,20.0,70.0,3.0,Simple pass,42.33,1,Opponent11_D1,Opponent11_M3
15.23,71.0,34.0,65.0,20.0,Simple pass,42.92,1,Opponent11_M3,Opponent11_M2
52.01,70.0,86.0,71.0,34.0,High pass,44.29,1,Opponent11_M2,Opponent11_D2
15.23,51.0,79.0,57.0,93.0,Simple pass,109.52,1,Huskies_D7,Huskies_M11
21.02,42.0,98.0,51.0,79.0,Simple pass,111.11,1,Huskies_M11,Huskies_D3
55.23,13.0,51.0,42.0,98.0,Simple pass,113.88,1,Huskies_D3,Huskies_G1
64.35,59.0,96.0,13.0,51.0,High pass,123.62,1,Huskies_G1,Huskies_D7
18.03,43.0,74.0,37.0,91.0,Simple pass,156.58,1,Opponent11_M1,Opponent11_M2
29.53,69.0,60.0,43.0,74.0,Simple pass,157.68,1,Opponent11_M2,Opponent11_D3
49.5,62.0,11.0,69.0,60.0,Simple pass,160.3,1,Opponent11_D3,Opponent11_D1
24.7,71.0,34.0,62.0,11.0,Simple pass,164.15,1,Opponent11_D1,Opponent11_D3
35.06,69.0,69.0,71.0,34.0,Simple pass,166.26,1,Opponent11_D3,Opponent11_D4
30.02,68.0,99.0,69.0,69.0,Simple pass,169.02,1,Opponent11_D4,Opponent11_D2
18.38,90.0,72.0,77.0,85.0,Simple pass,175.08,1,Opponent11_D4,Opponent11_M2
9.43,95.0,64.0,90.0,72.0,Simple pass,176.97,1,Opponent11_M2,Opponent11_G1
8.0,59.0,73.0,67.0,73.0,Simple pass,220.44,1,Opponent11_M3,Opponent11_M4
49.16,38.0,19.0,42.0,68.0,Simple pass,223.08,1,Opponent11_M4,Opponent11_D1
10.82,34.0,15.0,28.0,24.0,Simple pass,228.89,1,Opponent11_D1,Opponent11_M3
17.09,18.0,9.0,34.0,15.0,Simple pass,230.23,1,Opponent11_M3,Opponent11_D1
75.33,0.0,0.0,7.0,75.0,Launch,246.87,1,Huskies_M6,Huskies_D3
52.35,54.0,96.0,90.0,58.0,Hand pass,301.85,1,Opponent11_G1,Opponent11_F1
9.9,39.0,99.0,32.0,92.0,Simple pass,322.72,1,Opponent11_F2,Opponent11_D2
36.35,26.0,95.0,31.0,59.0,Head pass,326.6,1,Huskies_D4,Huskies_D7
22.56,60.0,98.0,38.0,93.0,Simple pass,360.16,1,Opponent11_F1,Opponent11_D2
4.47,70.0,82.0,72.0,78.0,Simple pass,371.05,1,Opponent11_D3,Opponent11_M4
5.39,80.0,83.0,75.0,81.0,Simple pass,376.0,1,Huskies_M1,Huskies_M4
27.46,45.0,48.0,68.0,33.0,Simple pass,429.73,1,Huskies_M11,Huskies_D4
28.86,17.0,55.0,45.0,48.0,Simple pass,432.11,1,Huskies_D4,Huskies_G1
70.21,74.0,14.0,17.0,55.0,Launch,435.22,1,Huskies_G1,Huskies_M4
13.34,83.0,25.0,80.0,12.0,Simple pass,438.95,1,Huskies_M4,Huskies_F2
20.1,35.0,54.0,55.0,52.0,Launch,483.39,1,Opponent11_D3,Opponent11_F2
9.22,32.0,23.0,39.0,17.0,Simple pass,491.3,1,Opponent11_M3,Opponent11_M2
21.02,23.0,4.0,32.0,23.0,Simple pass,492.75,1,Opponent11_M2,Opponent11_D1
8.25,29.0,15.0,31.0,7.0,Simple pass,496.99,1,Huskies_D4,Huskies_F2
15.03,29.0,28.0,28.0,13.0,Simple pass,498.44,1,Opponent11_D1,Opponent11_M2
15.52,33.0,13.0,29.0,28.0,Simple pass,499.72,1,Opponent11_M2,Opponent11_M3
39.22,46.0,50.0,33.0,13.0,Simple pass,501.53,1,Opponent11_M3,Opponent11_M1
25.61,62.0,70.0,46.0,50.0,Simple pass,503.36,1,Opponent11_M1,Opponent11_D4
19.65,53.0,95.0,58.0,76.0,Simple pass,520.5,1,Huskies_M6,Huskies_D7
33.06,86.0,93.0,53.0,95.0,High pass,522.8,1,Huskies_D7,Huskies_F4
5.0,88.0,97.0,88.0,92.0,Simple pass,565.27,1,Huskies_M1,Huskies_D7
10.77,82.0,98.0,72.0,94.0,Simple pass,595.35,1,Opponent11_M2,Opponent11_D2
30.41,46.0,89.0,76.0,94.0,Head pass,610.9,1,Opponent11_D2,Opponent11_F2
5.0,41.0,89.0,46.0,89.0,Head pass,614.09,1,Opponent11_F2,Opponent11_M4
7.07,40.0,82.0,41.0,89.0,Head pass,615.0,1,Opponent11_M4,Opponent11_F2
13.04,39.0,95.0,40.0,82.0,Simple pass,616.25,1,Opponent11_F2,Opponent11_F1
20.0,3.0,67.0,15.0,83.0,Simple pass,620.26,1,Huskies_D3,Huskies_G1
23.41,56.0,51.0,64.0,73.0,Simple pass,655.6,1,Opponent11_M2,Opponent11_D1
16.55,60.0,64.0,45.0,57.0,Simple pass,661.01,1,Huskies_M11,Huskies_M4
34.67,77.0,96.0,58.0,67.0,Simple pass,665.12,1,Huskies_M4,Huskies_D7
38.47,83.0,58.0,77.0,96.0,High pass,667.0,1,Huskies_D7,Huskies_F4
5.0,79.0,55.0,83.0,58.0,Simple pass,669.6,1,Huskies_F4,Huskies_M6
15.03,66.0,3.0,67.0,18.0,Simple pass,696.8,1,Opponent11_M1,Opponent11_D1
26.4,93.0,26.0,69.0,15.0,Simple pass,699.91,1,Opponent11_D1,Opponent11_D3
9.22,95.0,35.0,93.0,26.0,Simple pass,703.06,1,Opponent11_D3,Opponent11_G1
41.23,63.0,9.0,95.0,35.0,Launch,704.74,1,Opponent11_G1,Opponent11_M4
36.01,69.0,66.0,68.0,30.0,Simple pass,709.94,1,Opponent11_M1,Opponent11_M2
25.18,66.0,91.0,69.0,66.0,Simple pass,712.2,1,Opponent11_M2,Opponent11_D2
2.0,21.0,96.0,23.0,96.0,Simple pass,734.41,1,Opponent11_M2,Opponent11_F1
16.76,2.0,74.0,7.0,58.0,Head pass,788.11,1,Huskies_F4,Huskies_D7
27.59,89.0,45.0,69.0,64.0,Simple pass,797.59,1,Opponent11_D4,Opponent11_G1
50.25,46.0,19.0,89.0,45.0,Launch,800.76,1,Opponent11_G1,Opponent11_M3
4.12,71.0,37.0,70.0,33.0,Simple pass,804.66,1,Opponent11_M1,Opponent11_D1
9.85,67.0,28.0,71.0,37.0,Simple pass,806.38,1,Opponent11_D1,Opponent11_M1
20.62,21.0,37.0,34.0,21.0,Head pass,811.01,1,Huskies_D4,Huskies_D3
30.08,10.0,65.0,21.0,37.0,Simple pass,813.8,1,Huskies_D3,Huskies_G1
6.71,42.0,97.0,45.0,91.0,Simple pass,840.55,1,Huskies_M1,Huskies_D7
70.61,27.0,28.0,42.0,97.0,High pass,841.59,1,Huskies_D7,Huskies_D4
32.65,6.0,53.0,27.0,28.0,Simple pass,846.73,1,Huskies_D4,Huskies_G1
31.11,28.0,31.0,6.0,53.0,Simple pass,850.14,1,Huskies_G1,Huskies_D1
20.25,75.0,25.0,82.0,44.0,Simple pass,857.99,1,Opponent11_D4,Opponent11_M1
17.89,67.0,9.0,75.0,25.0,Simple pass,860.23,1,Opponent11_M1,Opponent11_D1
20.62,72.0,29.0,67.0,9.0,Simple pass,862.61,1,Opponent11_D1,Opponent11_M1
14.0,30.0,98.0,30.0,84.0,Simple pass,918.49,1,Opponent11_M1,Opponent11_D2
17.09,13.0,89.0,7.0,73.0,Simple pass,960.76,1,Opponent11_M3,Opponent11_M1
